complexity,stem,answer,distractor1,distractor2,distractor3
difficulty,stem,choice,choice,choice,choice
0.5,\left(2z+\frac{3}{2}\right)^2,6z+\frac{9}{4}+4z^2,6z+\frac{6}{2}+4z,4z^2+6z+\frac{3}{2},\frac{9}{4}+4z^2
0.5,\left(\frac{4}{3}+4b\right)^2,\frac{16}{9}+16b^2+\frac{32}{3}b,\frac{32}{3}b+\frac{16}{9}+8b^2,-\frac{32}{3}b+16b^2+\frac{16}{9},\frac{8}{3}+\frac{32}{3}b+16b
0.5,\left(-\frac{1}{5}x+4\right)^2,16-\frac{8}{5}x+\frac{1}{25}x^2,\frac{1}{25}x-\frac{8}{5}x+16,8+\frac{1}{25}x^2-\frac{8}{5}x,\frac{1}{25}x^2+16+\frac{8}{5}x
0.5,\left(-4+4y\right)^2,-32y+16y^2+16,8y-16-32y,8y^2-32y+16,16y^2+16
0.5,\left(2+4b\right)^2,16b+4+16b^2,16b+2+16b^2,4+16b^2,4+16b+8b^2
0.5,\left(-\frac{4}{5}+5c\right)^2,25c^2+\frac{16}{25}-8c,-8c-\frac{8}{5}+10c^2,\frac{16}{25}+25c^2,-8c-\frac{8}{5}+25c^2
0.5,\left(\frac{3}{4}y+\frac{2}{5}\right)^2,\frac{9}{16}y^2+\frac{3}{5}y+\frac{4}{25},\frac{9}{16}y^2-\frac{3}{5}y+\frac{4}{25},\frac{4}{25}+\frac{9}{16}y^2,\frac{3}{5}y+\frac{4}{25}+\frac{3}{4}y^2
0.5,\left(-4-\frac{3}{4}c\right)^2,6c+16+\frac{9}{16}c^2,-16+\frac{9}{16}c+6c,16+\frac{9}{16}c^2-6c,-8+\frac{9}{16}c^2+6c
0.5,\left(4-\frac{1}{3}c\right)^2,\frac{1}{9}c^2+16-\frac{8}{3}c,-\frac{8}{3}c-\frac{2}{3}c^2+16,-\frac{8}{3}c-\frac{2}{3}c+4,16+\frac{8}{3}c+\frac{1}{9}c^2
0.5,\left(2y-1\right)^2,1-4y+4y^2,4y^2-4y+1,-4y+1+2y^2,1+4y^2
